1~2010~10~ict-10-01-01~1~1~1~තොරතුරු හා සන්නිවේදන තාක්ෂණය~තොරතුරු හා සන්නිවේදන තාක්ෂණය~තොරතුරු හා සන්නිවේදන තාක්ෂණය අර්ථ දැක්වීම~~~~~~~~
2~2010~10~ict-10-01-02~2~1~1~තොරතුරු හා සන්නිවේදන තාක්ෂණය~තොරතුරු හා සන්නිවේදන තාක්ෂණය~ජාතික සංවර්දනයට තොරතුරු තාක්ෂනය~~~~~~~~
3~2010~10~ict-10-01-03~3~1~1~තොරතුරු හා සන්නිවේදන තාක්ෂණය~තොරතුරු හා සන්නිවේදන තාක්ෂණය~සමාජය තුල තොරතුරු හා සන්නිවේදන තාක්ෂනය භාවිතය~~~~~~~~
4~2010~10~ict-10-01-04~4~1~1~තොරතුරු හා සන්නිවේදන තාක්ෂණය~තොරතුරු හා සන්නිවේදන තාක්ෂණය~ඉ - රාජ්‍යයේ යෙදවුම~~~~~~~~
5~2010~10~ict-10-01-05~5~1~1~තොරතුරු හා සන්නිවේදන තාක්ෂණය~තොරතුරු හා සන්නිවේදන තාක්ෂණය~කෘෂිකර්මාන්තයේදී තොරතුරු හා සන්නිවේදන තාක්ෂනය භාවිතය~~~~~~~~
6~2010~10~ict-10-01-06~6~1~1~තොරතුරු හා සන්නිවේදන තාක්ෂණය~තොරතුරු හා සන්නිවේදන තාක්ෂණය~කර්මාන්ත ක්ෂේත්‍රයේදී තොරතුරු හා සන්නිවේදන තාක්ෂනය භාවිතය~~~~~~~~
7~2010~10~ict-10-01-07~7~1~1~තොරතුරු හා සන්නිවේදන තාක්ෂණය~තොරතුරු හා සන්නිවේදන තාක්ෂණය~ව්‍යාපාරික ක්ෂේත්‍රයේදී තොරතුරු හා සන්නිවේදන තාක්ෂනය භාවිතය~~~~~~~~
8~2010~10~ict-10-01-08~8~1~1~තොරතුරු හා සන්නිවේදන තාක්ෂණය~තොරතුරු හා සන්නිවේදන තාක්ෂණය~ප්‍රවාහන ක්ෂේත්‍රයේදී තොරතුරු හා සන්නිවේදන තාක්ෂනය භාවිතය~~~~~~~~
9~2010~10~ict-10-01-09~9~1~1~තොරතුරු හා සන්නිවේදන තාක්ෂණය~තොරතුරු හා සන්නිවේදන තාක්ෂණය~තොරතුරු හා සන්නිවේදන තාක්ෂණයේ අනිසි ප්‍රතිපල~~~~~~~~
10~2010~10~ict-10-01-10~10~1~2~පරිගණකය හඳුනා ගනිමු  ~පරිගණකය හඳුනා ගනිමු  ~පරිගණකය හැදින්වීම    ~~~~~~~~
11~2010~10~ict-10-01-14~14~1~2~පරිගණකය හඳුනා ගනිමු  ~පරිගණකය හඳුනා ගනිමු  ~පරිගණකයක් යනු කුමක්ද~~~~~~~~
12~2010~10~ict-10-01-15~15~1~2~පරිගණකය හඳුනා ගනිමු  ~පරිගණකය හඳුනා ගනිමු  ~පරිගණක වර්ගිකරණය~~~~~~~~
13~2010~10~ict-10-01-16~16~1~2~පරිගණකය හඳුනා ගනිමු  ~පරිගණකය හඳුනා ගනිමු  ~තාක්ෂණයට අනුව වර්ග කිරීම~~~~~~~~
14~2010~10~ict-10-01-17~17~1~2~පරිගණකය හඳුනා ගනිමු  ~පරිගණකය හඳුනා ගනිමු  ~පරිගණක පද්ධතියේ ක්‍රියාවලිය~~~~~~~~
15~2010~10~ict-10-01-18~18~1~2~පරිගණකය හඳුනා ගනිමු  ~පරිගණකය හඳුනා ගනිමු  ~ආදාන උපාංග~~~~~~~~
16~2010~10~ict-10-01-19~19~1~2~පරිගණකය හඳුනා ගනිමු  ~පරිගණකය හඳුනා ගනිමු  ~පරිගණකයක කෙවෙනි~~~~~~~~
17~2010~10~ict-10-01-20~20~1~2~පරිගණකය හඳුනා ගනිමු  ~පරිගණකය හඳුනා ගනිමු  ~දත්ත සන්නිවේදනය යනු~~~~~~~~
18~2010~10~ict-10-02-01~1~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~අවස්ථා දෙකක් භාවිතයෙන් දත්ත නිරූපණය කිරීම~~~~~~~~
19~2010~10~ict-10-02-03~3~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~බිටුව හෙවත් binary Digital-bit~~~~~~~~
20~2010~10~ict-10-02-05~5~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~සංඛ්‍යා පද්ධති හැදින්වීම~~~~~~~~
21~2010~10~ict-10-02-06~6~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~සංඛ්‍යා පද්ධති ආකාර~~~~~~~~
22~2010~10~ict-10-02-07~7~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~දශමක සංඛ්‍යා පද්ධති~~~~~~~~
23~2010~10~ict-10-02-08~8~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~අෂ්ටක සංඛ්‍යා පද්ධති~~~~~~~~
24~2010~10~ict-10-02-10~10~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියක දත්ත නිරුපනය~~~~~~~~
25~2010~10~ict-10-02-11~11~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~දශමය සංඛ්‍යා, ද්විමය සංඛ්‍යා බවට පරිවර්තනය~~~~~~~~
26~2010~10~ict-10-02-13~13~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~සංඛ්‍යා පද්ධති අතර පරිවර්තනය~~~~~~~~
27~2010~10~ict-10-02-14~14~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~ ද්විමය සංඛ්‍යා, දශමය සංඛ්‍යා බවට පරිවර්තනය~~~~~~~~
28~2010~10~ict-10-02-15~15~2~3~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~පරිගණක පද්ධතියේ දත්ත නිරූපණයට භාවිත කරන ක්‍රම  ~අෂ්ටමය සංඛ්‍යා, ද්විමය සංඛ්‍යා බවට පරිවර්තනය~~~~~~~~
