11.Colombo~WP/PILI/SUNETHRA MAHA DEVI PIRIVEN VIDYAYATHANAYA ~PEPILIYANA, BORALESGAMUWA                          ~~0112852880
11.Colombo~WP/HO/SRI SUDAMMARAMA PIRIVEN VIDYAYATHANAYA      ~SEETHAWAKAPURA, AWISSAWELLA                        ~~0362234994
11.Colombo~WP/CO/JAYA VIDYALANKARA MAHA PIRIVENA             ~PANNIPITIYA                                       ~~0112850226
11.Colombo~WP/SRI JAYA SUBADDARAMA PIRIVEN VIDYAYATHANAYA    ~GANGODAVILA, NUGEGODA                              ~~
11.Colombo~WP/CO/PILI/PARAMADAMMACHETHIYA MAHA PIRIVENA      ~70, PIRIVENA RD, MT.LAVINIYA, RATHMALANA          ~~0112730149
11.Colombo~CO/DARAMADUTHASHAMA MAHA PIRIVENA                 ~174, SIRIVAJIRAGNA MAWATHA, DEMATAGODA, COL 09    ~~0112689085
11.Colombo~WP/CO/SRI LANKA VIDYALAYA MAHA PIRIVENA           ~58, SRI VIPULASENA MAWATHA, MARADANA, COLOMBO 10  ~~0112693867
11.Colombo~WP/SRI JAYA/SRI MAHINDA MULIKA PIRIWENA           ~SRI MAHINDA MULIKA PIRIWENA, RANALA                ~~0112415613
11.Colombo~CO/MAHAVISUDDHARAMA THIPITAKA MULIKA PIRIWENA     ~283, SIRIDHAMMA MAWATHA, COLOMBO10.                 ~~0112476951
11.Colombo~WP/PILI/SHASHTHARANANDA MULIKA PIRIVENA           ~192, SHASHTHARANANDA PIRIVENA, KARAGAMPITIYA, DEHIWALA~~0112712482
11.Colombo~SRI DAMMARAKSHITHA THRIPITAKA DAMYAYATHANA MULIKA ~MALLIKARAMAYA, RATHMALANA                          ~~0710776013
11.Colombo~COL/SIRI SUMANA VIDYALA MULIKA PIRIVENA           ~160, WARD PLACE, BORELLA, COLOMBO 07            ~~0112691554
11.Colombo~COL/SRI SUMANATHISSA MULIKA PIRIVENA              ~PINWATHTHA, DEHEWALA                               ~~0112717166
11.Colombo~WP/JAYA/SRI VIDYALOKA MULIKA PIRIVENA             ~SRI MEDANANDA MAWATHA, PAHALA BOMIRIYA, KADUWELA    ~~0112339353
11.Colombo~WP/JAYA/SIRI PERAKUMBA PIRIVENA                   ~SRI JAYAWARDANAPURA, ETHUL KOTTE, KOTTE             ~~0112864017
11.Colombo~COL/PAGNGNANANDA MAHA PIRIVENA                    ~NAGAHAWATHTHA RD, MAHARAGAMA                       ~~0112850583
11.Colombo~WP/COL/HOM/SRI NEEGODRA MAHA PIRIVENA             ~KARAGALLA , KOSGAMA                                ~~0362255674
11.Colombo~COL/HOM/SRI VIDYAWARDHANA PIRIVENA                ~KIRIWANDALA, PUWAKPITIYA                           ~~0362222409
11.Colombo~WP/COL/SRI DARMAKEERTHI MULIKA PIRIVENA           ~POLWATHTHA PANSALA, KOLLUPITIYA, COLOMBO 03         ~~0718027308
11.Colombo~COL/NALANDA DARMAYATHANAYA  MULIKA PIRIVENA       ~DAKSHINARAMAYA, DAKSHINARAMA RD, MT.LAVINIYA        ~~0112722819
11.Colombo~COL/SRI WANGEESHA PIRIVENA                        ~KALAPALUWAAWA, MULLERIYAWA, NEW TOWN                ~~0112793797
11.Colombo~COL/SRI BODHI VIHARA MULIKA PIRIVENA              ~BODHIYA RD, UDAHAMULLA, NUGEGODA                    ~~0112778764
11.Colombo~WP/COL/PILI/NANDANA MAHA PIRIVENA                 ~SRI VIJAYA SUNDARARAMAYA, KESBEWA                  ~~0112703864
11.Colombo~COL/PILI/ SIRI GUNARATHANA MULIKA PIRIVENA        ~SUWARNASHAILA BIMBARAMAYA, KATUBEDDA, MORATUWA      ~~0112655448
11.Colombo~COL/SRI WACHEESSARA MULIKA PIRIVENA               ~66/5, SRI WACHEESSARA NAHIMI RD, KIRULAPANA, COL 5~~0112514493
11.Colombo~WP/COL/HOM/SRI WIMALAJOTHI PIRIVENA               ~PURANA GALLEN VIHARAYA, UDUMULLA, PADUKKA           ~~0112858134
11.Colombo~COL/SRI METHTHINDA PIRIVENA                       ~SRI KALARUKKARAMAYA, EGODA UYANA, MORATUWA          ~~0112658710
11.Colombo~WP/HOM/SRI SUMAMA MULIKA PIRIVENA                 ~THUMMODARA                                        ~~0112773833
11.Colombo~COL/SIRISUMANA MULIKA PIRIVENA                    ~SRI BAUDDARAMAYA , THALAWATHUGODA                  ~~0362255449
11.Colombo~WP/COL/HOM/SRI MADURASAMA MULIKA PIRIVENA         ~DAMPE , MEEGODA                                    ~~0112859419
11.Colombo~WP/JAYA/COL/THAKSHILA MAHA PIRIVENA               ~SANKAPITIYA VIHARAYA, KOTHALAWALA                  ~~0112571067
11.Colombo~WP/COL/SRI PAGNGNALOKA DAM NIKETHANA MULIKA PIRIVE~166, PURWARAMA RD, KIRULAPANA, COL 05             ~~0112852323
11.Colombo~WP/COL/VIDYAWARDANA PIRIVENA                      ~HOMAGAMA                                          ~~0112855277
11.Colombo~SIRI SUMANANANDA MAHA PIRIVENA                    ~SRI NEELAMALLIKARAMAYA, MULLERIYAWA, NEW TOWN      ~~0112568028
11.Colombo~WP/JAYA/SRI PAGNGNODAYA MAHA PIRIVENA             ~104/14, GANGODAWILA, NUGEGODA                    ~~0112854606
11.Colombo~COL/VIDYA NIKETHANA MULIKA PIRIVENA               ~PURWARAMAYA GUNASINGHAPURA                        ~~0112324900
11.Colombo~WP/JAYA/SUBADDARAMA MULIKA PIRIVENA               ~84, PEGIRIWATHTHA RD, GANGODAWILA, NUGEGODA       ~~0112821067
11.Colombo~SRI VIDYASHANTHI MAHA PIRIVENA                    ~429, SIRIMANGALAWATHTHA RD, PILIYANDALA          ~~0112616247
11.Colombo~WP/JAYA/SUNETHRA MAHADEVI MULIKA PIRIVENA         ~SRI SOORATHA MAWATHA, GANGODAWILA, NUGEGODA         ~~0112852880
11.Colombo~WP/COL/HOM/SRI MALIYADEVA MULIKA PIRIVENA         ~RAJAMAHA VIHARAYA, EBULGAMA, HANWELLA               ~~0112415840
11.Colombo~COL/DAKSHINARAMA DIVIBASHA MULIKA PIRIVENA        ~MALWATHTHA, HOOKANDARA SOUTH, HOOKANDARA            ~~0112156912
11.Colombo~WP/COL/HOM/ARYA NIKETHANA DIVIBASHA MULIKA PIRIVEN~16/B, SRI SEELALANKARA RD, MULLEGAMA, HOMAGAMA    ~~0112752391
11.Colombo~WP/COL/PILI/SILUMINA DIVIBASHA MULIKA PIRIVENA    ~POLHENA, MADAPATHA, PILIYANDALA                     ~~0112052514
11.Colombo~WP/COL/JAYA/DAMMADEEPA DIVIBASHA MULIKA PIRIVENA  ~SRI MAHA VIHARAYA, PORE, ATHURUGIRIYA               ~~0112156684
11.Colombo~WP/COL/SRI DARMODAYA MULIKA PIRIVENA              ~190, W.A.SILVA MAWATHA, WELLAWATHTHA, COL.06      ~~0716471093
11.Colombo~WP/COL/PILI/VIDYA SAMADI DIVIBASHA MULIKA PIRIVENA~111/2, PELENWATHTHA, PANNIPITIYA                 ~~0112172659
11.Colombo~COL/SRI GNALOKA MULIKA PIRIVENA                   ~SRI SAMBODI NUGASHAMA VIHARAYA, SOYZAPURA, MORATUWA ~~0255675962
11.Colombo~WP/PILI/COL/SRI DARMARAJA PIRIVENA                ~SRI BODIRUKKARAMAYA, MORATUMULLA, MORATUWA          ~~0776223999
11.Colombo~SUDARMA SEELAMATHA EDUCATION CENTER~MADIWELA, KOTTE~~0712247114
12.Gampaha~WP/KEL/KALYANI PRADEEPA VIDYATHANA PIRIVENA       ~DELGODA                                           ~~0112402244
12.Gampaha~GA/VIYADEEPA VIYATHANA PIRIVENA                   ~MABIMA MAKEVITA JAELA                             ~~0332225309
12.Gampaha~WP/KAL/SRI NAGARJUNA MAHA PIRIVENA                ~SURIGAMA KADAWATHA                                ~~0112974855
12.Gampaha~WP/GAM/VIDYASHEKARA MAHA PIRIVENA                 ~BANDIYAMULLA GAMPAHA                              ~~0332228039
12.Gampaha~WP/GAM/SRI VIDYAWANSHA MAHA PIRIVENA              ~BANDARAWATTA GAMPAHA                              ~~0332222312
12.Gampaha~WP/MINU/VIDYAWASA MAHA PIRIVENA                   ~MINIOLUWA MEERIGAMA                               ~~0776580559
12.Gampaha~GAM/VIDYARAVINDA MAHA PIRIVENA                    ~PAHALAGAMA GAMPHA                                 ~~0332222426
12.Gampaha~GAM/THRIPITAKODAYA MAHA PIRIVENA                  ~NAPAGODA NITTAMBUWA                               ~~0332287403
